timestamp,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
2025-06-24T18:00:08+00:00,106089.73093706572,61169589066.134224,0.01726408,3.53035142,2.14813307
2025-06-24T18:13:54+00:00,106013.65808947771,59550305191.2556,-0.0184056,2.91102107,1.98795815
2025-06-24T18:14:19+00:00,105993.26341232152,59406239892.49517,-0.01208264,2.93234572,1.92744959
2025-06-24T18:27:08+00:00,105871.77921304388,58717205614.6365,0.07516346,2.75040643,1.92950377
2025-06-25T01:46:13+00:00,106462.9497564265,47526505580.36586,0.44206803,1.25277915,1.56766278
2025-06-25T02:00:04+00:00,106405.58115007808,49597427167.19733,-0.01368329,0.82044433,1.5336833
2025-06-25T02:13:58+00:00,106765.6538575922,49457201138.775696,0.2982902,1.7375378,1.79020338
2025-06-25T02:14:16+00:00,106795.53385557533,48805650415.77666,0.2995012,1.75527715,1.82668224
2025-06-25T02:28:25+00:00,106647.26642921702,49915914693.84179,0.33147121,1.57283444,1.53156698
2025-06-25T03:00:19+00:00,106554.01512346292,49780658864.26706,0.1394983,1.63410896,1.57744577
2025-06-25T03:13:55+00:00,106651.9983992872,49631543938.2995,-0.13440212,1.57046752,1.56758431
2025-06-25T03:14:16+00:00,106651.9983992872,49631543938.2995,-0.13440212,1.57046752,1.56758431
2025-06-25T03:27:08+00:00,106621.48836662612,49371237392.15566,-0.08859826,1.38866534,1.49700232
2025-06-25T04:00:06+00:00,106313.66666011549,48284062625.40578,-0.22556491,1.22112173,1.05937452
2025-06-25T04:13:55+00:00,106245.22908561263,49047035633.53823,-0.34459443,1.21425148,0.93823871
2025-06-25T04:14:16+00:00,106236.76101390668,49025708492.62587,-0.38933859,1.31055089,0.91726547
2025-06-25T04:27:07+00:00,106280.7111441108,48962670249.5041,-0.31961402,1.24285923,1.02446178
2025-06-25T05:00:06+00:00,106257.78495019146,48805568600.69143,-0.05256305,1.30192785,0.73620767
2025-06-25T05:14:08+00:00,106236.6464729347,48697954863.11016,-0.00010782,1.10390861,0.74245681
2025-06-25T05:14:16+00:00,106236.6464729347,48697954863.11016,-0.00010782,1.10390861,0.74245681
2025-06-25T05:27:14+00:00,106141.0843964464,47731556857.07394,-0.13137544,0.94903182,0.61655571
2025-06-25T06:00:13+00:00,106293.99949282991,48304846267.554245,0.03408178,0.79492048,0.81373922
2025-06-25T06:13:57+00:00,106211.01909246552,47862891802.12189,-0.02412292,0.67497338,0.6921017
2025-06-25T06:14:17+00:00,106211.01909246552,47862891802.12189,-0.02412292,0.67497338,0.6921017
2025-06-25T06:27:10+00:00,106412.5618573817,46854634750.335526,0.25577039,0.82300187,0.98803246
2025-06-25T20:33:48+00:00,107738.7858689832,51956592754.60223,-0.02078659,1.74293646,3.28733742
2025-06-25T20:37:12+00:00,107766.86410550372,52013105806.19605,0.05430648,1.82423997,3.20168233
2025-06-25T21:00:06+00:00,107840.5790239608,51874972538.79253,0.0956607,1.59971761,2.85745957
2025-06-25T21:13:56+00:00,107705.2530271737,51793211190.8086,0.07079423,1.65793396,3.10563648
2025-06-25T21:14:16+00:00,107705.2530271737,51793211190.8086,0.07079423,1.65793396,3.10563648
2025-06-25T21:27:08+00:00,107648.259486103,50891428777.70461,-0.07732791,1.51413156,2.83674035
2025-06-25T21:37:07+00:00,107641.74095345184,51850653420.4928,-0.1161054,1.50355135,2.7665893
2025-06-25T22:00:17+00:00,107503.81882004847,51679285454.66316,-0.31227596,1.37122751,2.28742604
2025-06-25T22:13:53+00:00,107513.48099632937,51736706349.44379,-0.17805263,1.44817756,2.47779537
2025-06-25T22:14:16+00:00,107513.48099632937,51736706349.44379,-0.17805263,1.44817756,2.47779537
2025-06-25T22:27:07+00:00,107429.1487147621,50859615756.75064,-0.20354326,1.46003602,2.27641548
2025-06-25T22:37:08+00:00,107351.32586313362,51756200947.47262,-0.26979784,1.35677056,2.33765823
2025-06-25T23:00:06+00:00,107338.04756001166,51700156868.19771,-0.15420035,1.19308172,2.36633581
2025-06-25T23:06:07+00:00,107166.8238466806,50682180870.15794,-0.26724136,1.08663134,2.08227426
